iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,2,2014-08-23,8
2014,Ukraine,WAAR,ONWAAR,Kidnapping,Private property,Ukraine,Donetsk People's Republic,Melee,0,2014-08-24,8
2014,Ukraine,WAAR,ONWAAR,Kidnapping,Government,Ukraine,Luhansk People's Republic,Firearms,0,2014-08-24,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Kidnapping,Public services,Ukraine,Donetsk People's Republic,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Kidnapping,Government,Ukraine,Unknown,Unknown,0,2014-08-25,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,0,2014-08-27,8
2014,Ukraine,WAAR,ONWAAR,Facility Attack,Public services,Ukraine,Luhansk People's Republic,Unknown,0,2014-08-27,8
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Donetsk People's Republic,Firearms,8,2014-08-27,8
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Donetsk People's Republic,Firearms,8,2014-08-27,8
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Donetsk People's Republic,Firearms,8,2014-08-27,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,0,2014-08-26,8
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,6,2014-08-28,8
2014,Albania,WAAR,ONWAAR,Explosion,Private property,Albania,Unknown,Bombs,1,2014-08-28,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-08-30,8
2014,Czech Republic,WAAR,ONWAAR,Facility Attack,Government,Czech Republic,Proletarian Solidarity,Incendiary,0,2014-08-30,8
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Donetsk People's Republic,Firearms,2,2014-08-30,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,,2014-08-31,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,87,2014-08-31,8
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,,2014-09-01,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-02,9
2014,Russia,WAAR,ONWAAR,Armed Assault,Private property,Russia,Unknown,Firearms,5,2014-09-03,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,3,2014-09-04,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Private property,Ukraine,Unknown,Unknown,0,2014-09-04,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,5,2014-09-04,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-06,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,,2014-09-06,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-07,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Donetsk People's Republic,Firearms,2,2014-09-07,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Private property,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-07,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-08,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2014-09-08,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,3,2014-09-09,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-09,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-09,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-09,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-09,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-09-11,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-12,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-13,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-13,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Bombs,3,2014-09-13,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-13,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,3,2014-09-14,9
2014,Russia,ONWAAR,ONWAAR,Explosion,Public services,Russia,Unknown,Bombs,0,2014-09-15,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,3,2014-09-14,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-16,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,10,2014-09-17,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-09-17,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,2,2014-09-17,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-19,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-19,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-19,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Bombs,,2014-09-20,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Private property,Ukraine,Luhansk People's Republic,Firearms,0,2014-09-20,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-20,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,1,2014-09-20,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-09-22,9
2014,Ukraine,ONWAAR,ONWAAR,Unknown,Government,Ukraine,Unknown,Unknown,,2014-09-22,9
2014,Ukraine,ONWAAR,ONWAAR,Unknown,Government,Ukraine,Unknown,Unknown,,2014-09-22,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Unknown,Bombs,0,2014-09-24,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,1,2014-09-22,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-09-22,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,Ukraine,Unknown,Firearms,0,2014-09-22,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,International,Unknown,Firearms,0,2014-09-24,9
2014,Russia,WAAR,ONWAAR,Explosion,Government,Russia,Unknown,Bombs,1,2014-09-25,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-25,9
2014,Ukraine,ONWAAR,ONWAAR,Armed Assault,Government,Ukraine,Donetsk People's Republic,Firearms,0,2014-09-24,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2014-09-25,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Luhansk People's Republic,Bombs,1,2014-09-26,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Unknown,Government,Ukraine,Donetsk People's Republic,Unknown,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Donetsk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2014-09-27,9
2014,Ukraine,WAAR,ONWAAR,Explosion,Government,Ukraine,Luhansk People's Republic,Bombs,0,2014-09-27,9
